Sensor,Value
0,0
1,570
2,1933
3,0
4,1933
5,0
6,1869
7,1933
8,0
9,0
10,1220
11,1534
12,0
13,0
14,642
15,0
16,48
17,1138
18,0
19,975
20,436
21,436
22,491
23,651
24,0
25,0
26,1517
27,1645
28,757
29,0
30,0
31,0
32,41
33,74
34,0
35,0
36,100
37,0
38,119
39,387
40,1645
41,1776
42,901
43,1979
44,1991
45,1950
46,495
47,155
48,0
49,0
50,0
51,279
52,820
53,703
54,52
55,0
56,0
57,0
58,0
59,43
60,84
61,97
62,66
63,52
64,49
65,0
66,0
67,232
68,625
69,603
70,671
71,0
72,0
73,0
74,1849
75,1647
76,1517
77,1250
78,1357
79,1062
80,64
81,46
82,0
83,0
84,527
85,1368
86,1250
87,1357
88,123
89,1089
90,604
91,62
92,0
93,0
94,0
95,1631
96,1517
97,1250
98,1357
99,128
100,0
101,0
102,0
103,97
104,1405
105,1631
106,1545
107,1034
108,975
109,1321
110,630
111,606
112,674
113,0
114,0
115,0
116,0
117,0
118,0
119,354
120,1953
121,1879
122,1849
123,1647
124,1517
245,1250
126,1357
127,1062
128,1089
129,604
130,1145
131,1609
132,1089
133,604
134,1145
135,1609
135,68
136,74
137,102
138,81
139,0
140,0
141,0
142,0
143,53
144,1250
145,1357
146,0
147,1089
148,46
149,130
150,125
151,70
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,553
161,1796
162,1714
163,1634
164,546
165,394
166,212
167,0
168,0
169,0
170,1782
171,1917
172,1985
173,55
174,0
175,0
176,1067
177,1092
178,610
179,1149
180,1613
181,1769
182,0
183,0
184,56
185,1256
186,1340
187,1067
188,1092
189,610
190,285
191,0
192,0
193,253
194,1639
195,1617
196,1058
197,343
198,64
199,0
200,0
201,1092
202,610
203,1149
204,1613
205,770
206,471
207,137
208,125
209,479
210,1387
211,1024
212,88
213,0
214,0
215,0
216,1067
217,1092
218,610
219,1149
220,149
221,64
222,823
223,771
224,73
225,0
226,0
227,0
228,0
229,0
230,0
231,74
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
